SP,N,Tipo,ID_Agente,Reserva,Utilidad
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,4,Afectivo,1,198.0,0.062
4,4,Racional,2,157.0,0.0
5,4,Afectivo,1,198.0,0.062
5,4,Racional,2,157.0,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,4,Afectivo,1,64.8,0.062
5,4,Racional,2,73.6,0.0
5,5,Afectivo,1,64.8,0.057
5,5,Racional,2,73.6,0.0037
6,5,Afectivo,1,64.8,0.057
6,5,Racional,2,73.6,0.0037
6,5,Afectivo,1,137.0,0.057
6,5,Racional,2,171.0,0.0037
6,5,Afectivo,1,137.0,0.057
6,5,Racional,2,171.0,0.0037
6,5,Afectivo,1,137.0,0.057
